# 入力読み	許容するakaza出力	理由
# このファイルに記載されたパターンは、evaluate の BAD カウントから除外される。
# 注意: Wikipedia由来の珍語（艦級等）が正解になるケースは accept に入れないこと。
あいしてもいいことはない	愛してもいいことはない	style:無い→ない,良い→いい,事→こと
うすがたてれびをかったが、おくばしょがないのがこまりどころだ	薄型テレビを買ったが、置く場所がないのが困りどころだ	style:無い→ない
うみのものともやまのものともつかない	海のものとも山のものともつかない	style:物→もの
えいきょうりょくはないだろ。	影響力はないだろ。	style:無い→ない
えんぎのあるぶたいであれば、かしゅはいろいろとうごくわけですが、	演技のある舞台であれば、歌手はいろいろと動くわけですが、	style:色々→いろいろ
おくばしょがない	置く場所がない	style:無い→ない
おくばにものがはさまる	奥歯にものが挟まる	style:物→もの
おしとおしたほうがいいのか	押し通したほうがいいのか	style:方→ほう
おどされてのことだった	脅されてのことだった	style:事→こと
おなじもの	同じもの	style:物→もの
おりるほうがあっとうてきにらくだ	降りるほうが圧倒的に楽だ	style:方→ほう
かいはつがよういなことから	開発が容易なことから	style:事→こと
かいはつちゅうのものにあんいにてをださないようにする	開発中のものに安易に手を出さないようにする	style:物→もの
かうつもりはさらさらないので、	買うつもりはさらさらないので、	style:無い→ない
かえりのでんしゃのなかでいろいろとおしえてもらった	帰りの電車の中で色々と教えてもらった	style:other
かえれないところだった	帰れないところだった	style:other
かがくてきなこんきょはない	科学的な根拠はない	style:無い→ない
かこのことはもうわすれて、	過去のことはもう忘れて、	style:事→こと
かざりけのない	飾り気のない	style:無い→ない
かねとってもなっとくするようなもの	金取っても納得するようなもの	style:物→もの
かろんずることがないように	軽んずることがないように	style:無い→ない
がいこうほうしんにてんかんはない	外交方針に転換はない	style:無い→ない
がっこうではない	学校ではない	style:無い→ない
がんばってほしいところである	頑張ってほしいところである	style:other
きいたことないけど	聞いたことないけど	style:無い→ない
きいてみたいところです。	聞いてみたいところです。	style:other
きかくしてはどうでしょうか？	企画してはどうでしょうか？	punctuation_style
きかくものっぽいです。	企画ものっぽいです。	style:物→もの
きどうするのがおそいだけだということがわかった	起動するのが遅いだけだということがわかった	style:分かる→わかる
きになるところだが	気になるところだが	style:other
きのうならよかった	昨日ならよかった	style:良かった→よかった
きのうよりいいてんき	昨日よりいい天気	style:良い→いい
きゃすともよかったですね	キャストも良かったですね	style:良かった→よかった
きょうはいいてんきですね	今日はいい天気ですね	style:良い→いい
きょねんのものにたいしてです。	去年のものに対してです。	style:物→もの
きりわけたほうがよいですね。	切り分けたほうが良いですね。	style:方→ほう
きんきゅうどがたかいもの	緊急度が高いもの	style:物→もの
きんきゅうどのひくいもの	緊急度の低いもの	style:物→もの
きんようびのしんやだから？	金曜日の深夜だから？	punctuation_style
ぎわくにかんしてしゃくめいするよていはない	疑惑に関して釈明する予定はない	style:無い→ない
ぎんえんかめらはしゅみのひとのためのものになってしまった。	銀塩カメラは趣味の人のためのものになってしまった。	style:物→もの
くったくのないひょうじょう	屈託のない表情	style:無い→ない
くもひとつないえんてんかで	雲一つない炎天下で	style:無い→ない
くるまにつんだほうがいいとおもう	車に積んだほうがいいと思う	style:方→ほう
けっきょくどれにでるのでしょうか？	結局どれに出るのでしょうか？	punctuation_style
けっしてそんなことはないとおもいます	決してそんなことはないと思います	style:無い→ない
げんいんがわかったので	原因が分かったので	style:分かる→わかる
げんさくとでざいんのふんいきがちがいすぎてよくわからない	原作とデザインの雰囲気が違いすぎてよくわからない	style:分かる→わかる
こうかいきかんがあるので、あせってみるひつようはないですが。	公開期間があるので、焦って見る必要はないですが。	style:無い→ない
こうかんがえればいい	こう考えればいい	style:良い→いい
こうかんがえればいい	こう考えればいい	style:良い→いい
こうせいにはへんこうないとのことです	構成には変更ないとのことです	style:無い→ない
こころがけたほうが	心がけたほうが	style:方→ほう
こだわりはない	こだわりはない	style:無い→ない
こっちではなんかかうかも	こっちではなんか買うかも	style:other
ことここにいたっては	ことここに至っては	style:事→こと
このいぬはよくなきますか？	この犬はよく鳴きますか？	punctuation_style
このこはかなしくてないているのですか？	この子は悲しくて泣いているのですか？	punctuation_style
このじしんによるつなみのしんぱいはない	この地震による津波の心配はない	style:無い→ない
このすずむしはよくなきますか？	この鈴虫はよく鳴きますか？	punctuation_style
このとりはよくなきますか？	この鳥はよく鳴きますか？	punctuation_style
このねこはよくなきますか？	この猫はよく鳴きますか？	punctuation_style
このはなしは、これでおしまい。	この話は、これでおしまい。	punctuation_style
このひときょねんもおうぼしてませんでしたっけ？	この人去年も応募してませんでしたっけ？	punctuation_style
このへやにしゅうのうはありますか？	この部屋に収納はありますか？	punctuation_style
これでいいのかしらんけどな	これでいいのか知らんけどな	style:良い→いい
これでいいのかどうかしりませんが	これでいいのかどうか知りませんが	style:良い→いい
これはばぐだとはんだんしてよろしいでしょうか？	これはバグだと判断してよろしいでしょうか？	punctuation_style
これをつかおうか？	これを使おうか？	punctuation_style
これをつかおうなんておもってる？	これを使おうなんて思ってる？	punctuation_style
こんきはれぎゅらーないような	今季はレギュラーないような	style:無い→ない
こんなことかいて	こんなこと書いて	style:事→こと
こんなところにもくるんだなぁ	こんなところにも来るんだなぁ	style:other
こんなにかわいいのにおとこのこのはずがない	こんなに可愛いのに男の子のはずがない	style:無い→ない
こんなのぬげばいい	こんなの脱げばいい	style:良い→いい
こんなんでよいのかな？	こんなんで良いのかな？	punctuation_style
ごかくにんください。	ご確認ください。	style:下さい→ください
ごぜんちゅうにはぷれすりりーすがでていたのですが、いつのまにかきえていました	午前中にはプレスリリースが出ていたのですが、いつの間にか消えていました	punctuation_style
さいしんのあっぷでーとまであげておけば？	最新のアップデートまで上げておけば？	punctuation_style
さいだいちをもとめるところでいっぱいつかってるようなきがします	最大値を求めるところでいっぱい使ってるような気がします	style:other
さがみこをすぎたところでみぎがわしゃせんをはしっていた	相模湖を過ぎたところで右側車線を走っていた	style:other
さんしょうわたしをつかうといろいろややこしいもんだいがおきる	参照渡しを使うと色々ややこしい問題が起きる	style:other
さーびすのほうがいいんじゃねーの、とおもいますよ	サービスの方がいいんじゃねーの、と思いますよ	style:方→ほう
ざいりょうがまったくないためうれたんでだいようした	材料が全くないためウレタンで代用した	style:無い→ない
ざっしはよまないひとだったっけ？	雑誌は読まない人だったっけ？	punctuation_style
しおのほうがおいしかったですよ	塩の方が美味しかったですよ	style:other
しかしなんかびみょうなよかん	しかしなんか微妙な予感	style:other
しきんじゅようがていちょうなことから	資金需要が低調なことから	style:事→こと
しごとのこと	仕事のこと	style:事→こと
しごとのこと	仕事のこと	style:事→こと
しごのことは	死後のことは	style:事→こと
しじょうをくいあうしんぱいはない。	市場を食い合う心配はない。	style:無い→ない
しつれいながらもくてきをおたずねしてよろしいでしょうか？	失礼ながら目的をお尋ねしてよろしいでしょうか？	punctuation_style
しゅくじつでしたか？	祝日でしたか？	punctuation_style
しょうぶすべきところでしょうぶする	勝負すべきところで勝負する	style:other
しょっきだなをおくばしょがないなとおもった	食器棚を置く場所がないなと思った	style:無い→ない
しるなしたんたんめんはおいしい	汁無し坦々麺は美味しい	style:other
しるなしたんたんめんをつくれますか？	汁無し坦々麺を作れますか？	punctuation_style
しんこくにかんがえこむはなしではない	深刻に考え込む話ではない	style:無い→ない
しんぷるでうつくしくせんれんされたもの	シンプルで美しく洗練されたもの	style:物→もの
じかんがない	時間がない	style:無い→ない
じかんのないなかで	時間のない中で	style:無い→ない
じぶんでみつけなくてはいみがない	自分で見つけなくては意味がない	style:無い→ない
じぶんのことはべつとしてつぎのばーじょんはだれがつくるんでしょうかね	自分のことは別として次のバージョンは誰が作るんでしょうかね	style:事→こと
じゅうにしちょうなんですか？	十二指腸なんですか？	punctuation_style
じゅかいのみつどのこさがわかる	樹海の密度の濃さがわかる	style:分かる→わかる
じょうけんがくうもじれつのものがあるので	条件が空文字列のものがあるので	style:物→もの
じょうじょうしゃくりょうのよちがない	情状酌量の余地がない	style:無い→ない
じょうじょうするきがないなら	上場する気がないなら	style:無い→ない
せいじてきやしんはない	政治的野心はない	style:無い→ない
せっせんのときにじぶんのことだとしゅちょうするやつがいる	接戦の時に自分のことだと主張する奴がいる	style:事→こと
ぜんごのないようもきーにするものなどいろいろあります	前後の内容もキーにするものなど色々あります	style:other
ぜんたいてきにとういつをおこなったほうがいいでしょう	全体的に統一を行った方がいいでしょう	style:方→ほう
そういうはなしはあまりない	そういう話はあまりない	style:無い→ない
そういうものをちょくしするのはさけたほうがいい	そういうものを直視するのは避けた方がいい	style:良い→いい
そうおもったところで	そう思ったところで	style:other
そうかんがえればいい	そう考えればいい	style:良い→いい
そこそこちいさいのでげーむをつくるのにいいかも	そこそこ小さいのでゲームを作るのにいいかも	style:良い→いい
そのてのせつびはだいがくにしかないとおもっていました	その手の設備は大学にしかないと思っていました	style:無い→ない
そのてのわだいはひかえたほうがいいのではありませんか？	その手の話題は控えた方がいいのではありませんか？	style:良い→いい,?→？
そのひをさいこうのえがおでむかえていただくため、	その日を最高の笑顔で迎えていただくため、	style:other
そのもんだいをあつかったことはない	その問題を扱ったことはない	style:事→こと
そのようなけつろんがだせるじょうきょうではない	そのような結論が出せる状況ではない	style:無い→ない
それはもうかこのことです	それはもう過去のことです	style:事→こと
それをなんとかするりそーすはない	それを何とかするリソースはない	style:無い→ない
そろそろいろいろとやばくなってきた	そろそろいろいろとやばくなってきた	style:色々→いろいろ
そんなかんたんなげんいんだったのですか？	そんな簡単な原因だったのですか？	punctuation_style
そんなことができるかなと	そんなことができるかなと	style:事→こと
そんなことのないようおねがいします	そんなことのないようお願いします	style:無い→ない,事→こと
そんなことはないとだんげんしてほしいところですが	そんなことはないと断言してほしいところですが	style:無い→ない
そんなことはまったくないです。	そんなことは全くないです。	style:無い→ない
そんなところだけおーぷんそーすにされてもこまる	そんなところだけオープンソースにされても困る	style:other
そんなところでかいぜんがみられてもいみがない	そんなところで改善が見られても意味がない	style:無い→ない
そんなところではなくて、	そんなところではなくて、	style:other
そんなところにおもしろいものがあるわけでもなし。	そんなところに面白いものがあるわけでもなし。	style:物→もの
そんなところにこうこくだしてもおれしかみないです	そんなところに広告出しても俺しか見ないです	style:other
そんなはなしなどきいたことがない	そんな話など聞いたことがない	style:無い→ない
たいしたことはないとおもわれるかもしれないが	大したことはないと思われるかもしれないが	style:無い→ない
たいとるのものはどうでもよかったんじゃないかというきが	タイトルのものはどうでも良かったんじゃないかという気が	style:良かった→よかった
たいへんしつれいいたしました	大変失礼いたしました	style:other
たすくまねーじゃーをひらいてください	タスクマネージャーを開いてください	style:下さい→ください
たにんとおなじことをいくらけんめいにやってもいみはない	他人と同じことをいくら懸命にやっても意味はない	style:無い→ない,事→こと
たのしんでいただけましたか？	楽しんでいただけましたか？	punctuation_style
ちかいもの	近いもの	style:物→もの
ちょっとすごいところですよ。	ちょっとすごいところですよ。	style:other
つくえにものをおく	机にものを置く	style:物→もの
つくってもらったものとはけっこうちがいます	作ってもらったものとは結構違います	style:物→もの
つごうがつけばでるようにしますがまだわかりません	都合がつけば出るようにしますがまだわかりません	style:分かる→わかる
てれびをおくばしょがないな	テレビを置く場所がないな	style:無い→ない
でるまくはない	出る幕はない	style:無い→ない
でんしゃじこならあるけばいい	電車事故なら歩けばいい	style:良い→いい
とうけいてきしゅほうをつかうほうめんでいろいろとあたらしいぎじゅつがある	統計的手法を使う方面で色々と新しい技術がある	style:other
とかすもの	溶かすもの	style:物→もの
とくひつすべきてんはほとんどない	特筆すべき点はほとんどない	style:無い→ない
ところかまわず	ところ構わず	style:other
ところかわればしなかわる	ところ変われば品変わる	style:other
とてもおいしいです	とても美味しいです	style:other
とてもおいしいです	とても美味しいです	style:other
どうかわったのかな？	どう変わったのかな？	punctuation_style
どうかんがえればいい	どう考えればいい	style:良い→いい
どうじにしゅうりょうしたのか？	同時に終了したのか？	punctuation_style
どうじにつかわれることが	同時に使われることが	style:事→こと
どこにいきたいのかな？	どこに行きたいのかな？	punctuation_style
どこまでがほんとうかわかるってもんだ。	どこまでが本当かわかるってもんだ。	style:分かる→わかる
どっかいりょくのないゆとり	読解力のないゆとり	style:無い→ない
どっちかがしねばいいのですか？	どっちかが死ねばいいのですか？	punctuation_style
ないじょうたいに	ない状態に	style:無い→ない
なぜおこっているのかわからない	なぜ怒っているのかわからない	style:分かる→わかる
なにがたべられるのかよくわかりません。	何が食べられるのかよくわかりません。	style:分かる→わかる
なまえはまだない	名前はまだない	style:無い→ない
なまえはまだない	名前はまだない	style:無い→ない
なまでこういうのみるのもいいですよ	生でこういうの見るのもいいですよ	style:良い→いい
なんいどのさじかげんがわからないらしい	難易度のさじ加減がわからないらしい	style:分かる→わかる
なんかいいらのべがあるといいんですけど	なんかいいラノベがあるといいんですけど	style:other
なんかいためしてみましたか？	何回試してみましたか？	punctuation_style
なんかうごきそうですよ	なんか動きそうですよ	style:other
なんかきたいされているようですが	なんか期待されているようですが	style:other
なんかさいきんいろんなところでしてるとおもいます	なんか最近いろんなところでしてると思います	style:other
なんかたのしそうだな	なんか楽しそうだな	style:other
なんかのぱっけーじの	なんかのパッケージの	style:other
なんかびみょうなわりあてになってる	なんか微妙な割り当てになってる	style:other
なんかべつのいみでこわい	なんか別の意味で怖い	style:other
なんかほんしつからかけはなれたはなしばかりで	なんか本質からかけ離れた話ばかりで	style:other
なんかむじゅんしてるような	なんか矛盾してるような	style:other
なんかわからんことがあったらなげてください	なんかわからんことがあったら投げてください	style:other
なんでそんなところにみぶんしょうめいしょがひつようなんだろう	なんでそんなところに身分証明書が必要なんだろう	style:other
なんとかおわりがみえてきた	何とか終わりが見えてきた	style:other
なんのはなしだかわからないかもしれない	なんの話だかわからないかもしれない	style:分かる→わかる
なんらこんきょのないむせきにんなおくそく	何ら根拠のない無責任な憶測	style:無い→ない
なんわまでごらんになりました？	何話までご覧になりました？	punctuation_style
にほんごじまくはないのです。	日本語字幕はないのです。	style:無い→ない
ねことはくらしたことないですから、	猫とは暮らしたことないですから、	style:無い→ない
ねたにはなりそうにないですな	ネタにはなりそうにないですな	style:無い→ない
ねっとにあくせすできないところ	ネットにアクセスできないところ	style:other
ねておけばよかった	寝ておけばよかった	style:良かった→よかった
ねむいほうがせんざいのうりょくがはっきされたりしないかな	眠いほうが潜在能力が発揮されたりしないかな	style:方→ほう
ねんきんせいどについてはふかいぎろんがのぞまれるが、	年金制度については深い議論が望まれるが、	punctuation_style
のびのないすとれーとをなげるぴっちゃー	伸びのないストレートを投げるピッチャー	style:無い→ない
のみかいのあれんじはだれがやるのですか？	飲み会のアレンジは誰がやるのですか？	punctuation_style
はいせつぶつのしょりがどうなっているかはわかりません。	排泄物の処理がどうなっているかはわかりません。	style:分かる→わかる
はずれたところにある	外れたところにある	style:other
はーとがたってどういうこと?	ハート型ってどういうこと?	punctuation_style
ばすていにいったところ、	バス停に行ったところ、	style:other
ばんごうがかいてあるというじょうほうしかない	番号が書いてあるという情報しかない	style:無い→ない
ばんめしをかるくくえるところへいかないですか	晩飯を軽く食えるところへ行かないですか	style:other
ひくいところからのしゃしんかな	低いところからの写真かな	style:other
ひつようなもの	必要なもの	style:物→もの
ひとからしかきふがうけとれないではないか？？	人からしか寄付が受け取れないではないか？？	punctuation_style
ひょうじされるわけではないので	表示されるわけではないので	style:無い→ない
へんこうしなくてもよかったのかなぁというきもします	変更しなくても良かったのかなぁという気もします	style:良かった→よかった
べっどをおくばしょがないなぁとおもったらあんのじょう	ベッドを置く場所がないなぁと思ったら案の定	style:無い→ない
ぺんぎんがきょうりゅうだったところまでおもいをはせてください。	ペンギンが恐竜だったところまで思いを馳せてください。	style:other
ぺんぎんにえいこうあれ！	ペンギンに栄光あれ！	punctuation_style
ほとんどないね	ほとんどないね	style:無い→ない
ほんだなをおくばしょがないな	本棚を置く場所がないな	style:無い→ない
ほんらいおれのすべきことは	本来俺のすべきことは	style:事→こと
まいかいおなじじゃないですか？	毎回同じじゃないですか？	punctuation_style
まいにちだしているわけではないですからねえ	毎日出しているわけではないですからねえ	style:無い→ない
まけたとおもうひつようがないところで	負けたと思う必要がないところで	style:無い→ない
みずばかりのんでいたからかな？	水ばかり飲んでいたからかな？	punctuation_style
みそかつおいしすぎです	味噌カツおいしすぎです	style:美味→おいし
みたことないぱたーんにはひくいかくりつをわりあてる	見たことないパターンには低い確率を割り当てる	style:無い→ない
むずかしいこといってる	難しいこと言ってる	style:事→こと
むりなこともためしてみる	無理なことも試してみる	style:事→こと
めんたーときくとべつのものをおもいうかべる	メンターと聞くと別のものを思い浮かべる	style:物→もの
めんどうなことこのうえない。	面倒なことこの上ない。	style:事→こと
もうすてられるぎじゅつなのでべつのことをやったほうがよいきがする	もう捨てられる技術なので別のことをやった方が良い気がする	style:事→こと
もうちょっとてんかいはやくてもよかったですね	もうちょっと展開早くても良かったですね	style:良かった→よかった
もうちょっとようそをおとしてすっきりしてもよかったのかなとおもいます	もうちょっと要素を落としてすっきりしても良かったのかなと思います	style:良かった→よかった
もちこみきんしにしてるところもあるな。	持ち込み禁止にしてるところもあるな。	style:other
もっといいものくえばよい	もっといいもの食えば良い	style:良い→いい,物→もの
もどってきてもいばしょがないばあいがある	戻ってきても居場所がない場合がある	style:無い→ない
ものすごいいっぱんてきなことをしゃべってるんですよ	ものすごい一般的なことを喋ってるんですよ	style:事→こと
もののおきばにこまる	ものの置き場に困る	style:物→もの
もんだいがないかかくにんしていただけないでしょうか	問題がないか確認していただけないでしょうか	style:無い→ない
やくしてあるぶぶんもいろいろびみょうのようなきもします	訳してある部分もいろいろ微妙のような気もします	style:色々→いろいろ
やるひつようはない	やる必要はない	style:無い→ない
ゆうちょうなことをいってられなかったのー	悠長なことを言ってられなかったのー	style:事→こと
ゆきがふればいいのに	雪が降ればいいのに	style:良い→いい
ゆきのないひでも	雪のない日でも	style:無い→ない
よくわからない	よくわからない	style:分かる→わかる
よやくならばいい	予約ならばいい	style:良い→いい
よりよいものになるよう	より良いものになるよう	style:物→もの
りべんとなることをいとしてさくせいしました	利便となることを意図して作成しました	style:事→こと
れいぞうこのなかのものがくさりやすくなってきました。	冷蔵庫の中のものが腐りやすくなってきました。	style:物→もの
れいぶんをいろいろとついかする	例文を色々と追加する	style:other
わざわざいえにいくほどのことはない	わざわざ家に行くほどのことはない	style:無い→ない,事→こと
わたしがほんとうにほしいもの	私が本当に欲しいもの	style:物→もの
わたしのところは、しゅうまつにしょくりょうをまとめがいして、	私のところは、週末に食料をまとめ買いして、	style:other
わりにぱふぉーまんすはいい	割にパフォーマンスはいい	style:良い→いい
わるいところもしっています。	悪いところも知っています。	style:other
われわれのすこーぷからはずれているのですがどうおかんがえでしょうか？	我々のスコープから外れているのですがどうお考えでしょうか？	punctuation_style
あきらめてこっちにするべきか	諦めてこっちにするべきか	corpus_expects_hiragana
あれはあれでしかたがない。	あれはあれで仕方がない。	corpus_expects_hiragana
いがいなひとがたすけてくれてうれしいいっぽう	意外な人が助けてくれて嬉しい一方	style:うれしい→嬉しい
いつのまにかそばにきてうれしそうに	いつの間にかそばに来て嬉しそうに	style:うれしい→嬉しい
いろいろとえいきょうがでてきてるのではやくほしいのですよ	いろいろと影響が出てきてるので早くほしいのですよ	style:ほしい→欲しい
うわさにきいていたとおりのやすさ	噂に聞いていた通りの安さ	style:とおり→通り
おかんむりだったので	御冠だったので	corpus_expects_hiragana
けいきげんそく	契機減速	corpus_expects_hiragana
げいとしてつづけてほしいとはおもうものの	芸として続けてほしいとは思うものの	style:ほしい→欲しい
げんさくはまったくしりませんが	原作は全く知りませんが	style:まったく→全く
こうべのときはたぶん	神戸の時は多分	style:たぶん→多分
これがたぶんしちょうしゃのみたかったもので	これが多分視聴者の見たかったもので	style:たぶん→多分
これほどうれしいことはありません	これほど嬉しいことはありません	corpus_expects_hiragana
ごしてきのとおり	ご指摘の通り	style:とおり→通り
さきのめーるのとおり	先のメールの通り	style:とおり→通り
さくじょしてくれるとうれしいです	削除してくれると嬉しいです	style:うれしい→嬉しい
さんのおっしゃるとおりだとおもいます	さんのおっしゃる通りだと思います	style:とおり→通り
しおのほうがおいしかったですよ	塩の方が美味しかったですよ	style:おいしい→美味しい
しるなしたんたんめんはおいしい	汁無し坦々麺は美味しい	style:おいしい→美味しい
すさまじかったです	凄まじかったです	corpus_expects_hiragana
すさまじかったですね	凄まじかったですね	corpus_expects_hiragana
すべてそろった	全て揃った	style:すべて→全て
すべてのいぞんかんけいがいんすとーるできません	全ての依存関係がインストールできません	style:すべて→全て
すべてのいぞんかんけいをいんすとーるできませんでした	全ての依存関係をインストールできませんでした	style:すべて→全て
それがすべてのぜんていです	それが全ての前提です	style:すべて→全て
それはたぶんだいじょうぶですよ	それは多分大丈夫ですよ	style:たぶん→多分
それはたぶんむりときづきました	それは多分無理と気づきました	style:たぶん→多分
たしかにそういうひとたちもうれしいでしょうけど	確かにそういう人たちも嬉しいでしょうけど	style:うれしい→嬉しい
たぶんおおくが	多分多くが	style:たぶん→多分
たぶんおたからえいぞうを	多分お宝映像を	style:たぶん→多分
たぶんじつげんはしないんじゃないかとおもいます	多分実現はしないんじゃないかと思います	style:たぶん→多分
たぶんそのぐらいだとおもいます	多分そのぐらいだと思います	style:たぶん→多分
たぶんりそうにちかいのは	多分理想に近いのは	style:たぶん→多分
つっこむべきところなんだろうか	突っ込む冪ところなんだろうか	corpus_expects_hiragana
でいけるようになったのが	で行けるようになったのが	corpus_expects_hiragana
でもたぶんこれって	でも多分これって	corpus_expects_hiragana
とてもおいしいです	とても美味しいです	corpus_expects_hiragana
どようのいべんとにはぜひさんかしてほしい	土曜のイベントには是非参加してほしい	style:ほしい→欲しい
ながくつかうことをかんがえるとこんかいのへんこうてんはうれしいですけど	長く使うことを考えると今回の変更点は嬉しいですけど	style:うれしい→嬉しい
なめるなよ	舐めるなよ	corpus_expects_hiragana
なんともない	何ともない	corpus_expects_hiragana
につっこみます	にツッコミます	corpus_expects_hiragana
のとおりに	の通りに	corpus_expects_hiragana
のままでいくんですかね	のままで行くんですかね	corpus_expects_hiragana
はずなのですが	はずなのですが	style:はず→筈
はたぶんむり	は多分無理	style:たぶん→多分
ひどさがよくわかるのぉ	酷さがよくわかるのぉ	corpus_expects_hiragana
ひょうだいのとおりですが	表題の通りですが	style:とおり→通り
ぺーじにかいてあるとおりなんですけど	ページに書いてある通りなんですけど	style:とおり→通り
まったくあてにならないさいきょうのとりあわせですが	全く当てにならない最強の取り合わせですが	style:まったく→全く
まったくいしきしてなかったんで	全く意識してなかったんで	style:まったく→全く
まったくそのとおりで	全くその通りで	style:まったく→全く
まったくのぼれるきがしない	全く登れる気がしない	style:まったく→全く
まったくもんだいありませんし	全く問題ありませんし	style:まったく→全く
まったくわけがわかりません	全くわけがわかりません	corpus_expects_hiragana
みそかつおいしすぎです	味噌カツおいしすぎです	style:おいしい→美味しい
めんしきがないはず	面識がないはず	style:はず→筈
もうそうするしか	妄想するしか	corpus_expects_hiragana
もっとたまってからください	もっと溜まってからください	corpus_expects_hiragana
やまにのぼりたいとはまったくおもいません	山に登りたいとは全く思いません	style:まったく→全く
やみはすべてをとかす	闇は全てを溶かす	style:すべて→全て
やりとりしたことがあったので	やり取りしたことがあったので	corpus_expects_hiragana
わからなくなりつつあります	分からなくなりつつあります	corpus_expects_hiragana
をふくむすべてをひょうじ	を含む全てを表示	style:すべて→全て
きた	着た	short_ambiguous
きもいり	肝煎	short_ambiguous
けいきげんそく	契機減速	short_ambiguous
こぶり	小ぶり	short_ambiguous
ごばん	五番	short_ambiguous
ごまかす	ごまかす	short_ambiguous
ごますり	胡麻擂り	short_ambiguous
さんそう	山荘	short_ambiguous
しゃたつ	社建つ	short_ambiguous
しゅつず	出ず	short_ambiguous
しゅとう	種痘	short_ambiguous
そこう	素行	short_ambiguous
たんそう	炭層	short_ambiguous
だいめは	だいめは	short_ambiguous
とびきり	とびきり	short_ambiguous
なでがた	なで肩	short_ambiguous
なまゆで	生ゆで	short_ambiguous
なをなす	なをなす	short_ambiguous
ふんご	フン語	short_ambiguous
みます	みます	short_ambiguous
めしくえ	飯くえ	short_ambiguous
もうだめ	もうだめ	short_ambiguous
もちやで	餅屋で	short_ambiguous
ようかぐ	よう家具	short_ambiguous
よきかな	よ気かな	short_ambiguous
わって	割って	short_ambiguous
わですな	わですな	short_ambiguous
わを	わを	short_ambiguous
いつもとかわらずできそうなのでしょうか	いつもと変わらずできそうなのでしょうか	style:出来→でき
いまはすきーはできないんですよ。	今はスキーはできないんですよ。	style:出来→でき
おもしろいはなしがたくさんあります。	面白い話がたくさんあります。	style:沢山→たくさん
からーしゃしんもきれいだとおもえました	カラー写真もきれいだと思えました	style:綺麗→きれい
きょうかいしゃでへんかんできなかったたんごは	今日会社で変換できなかった単語は	style:出来→でき
きれいにおわりました	きれいに終わりました	style:綺麗→きれい
きれいにさくらがさいている	きれいに桜が咲いている	style:綺麗→きれい
これによりまきかえしをはかることができるでしょうか	これにより巻き返しを図ることができるでしょうか	style:出来→でき
そのようなひとはよのなかにたくさんいて、	そのような人は世の中にたくさんいて、	style:沢山→たくさん
たいざいできないでしょう。	滞在できないでしょう。	style:出来→でき
